Gene	CellType	Rho	PValue	padj	Significance
PLK1	B cells naive	-0.0864610096057016	0.31508452949342813	0.5718200720436288	
PLK1	B cells memory	-0.0326864054816825	0.7045538729499198	0.8703312548204892	
PLK1	Plasma cells	0.10555347412151159	0.2196031293883516	0.4979367073763031	
PLK1	T cells CD8	-0.0070414471909865176	0.9349140100989007	0.9699808175193609	
PLK1	T cells CD4 naive	-0.040262917807647014	0.6404019739478528	0.8115438807787445	
PLK1	T cells CD4 memory resting	-0.06005591155026272	0.48572439425053937	0.686106662081963	
PLK1	T cells CD4 memory activated	0.17661741027068062	0.03896354656451548	0.19750487396495775	*
PLK1	T cells follicular helper	-0.0710944984363615	0.40905343967408003	0.6519386980405705	
PLK1	T cells regulatory (Tregs)	-0.17769712721551087	0.03776491646251422	0.19750487396495775	*
PLK1	T cells gamma delta	NA	NA	NA	
PLK1	NK cells resting	0.10657182837632898	0.21516218129039766	0.4979367073763031	
PLK1	NK cells activated	-0.02697922423228598	0.7543207049218449	0.8840170983767595	
PLK1	Monocytes	0.02399836575323722	0.7807359892229333	0.8937682563149588	
PLK1	Macrophages M0	-0.13113732701267047	0.12664583669475343	0.36503799988487756	
PLK1	Macrophages M1	0.2672709553587096	0.0015923494228768705	0.07802512172096665	**
PLK1	Macrophages M2	0.016956094091758044	0.8440923154403914	0.9123644880127759	
PLK1	Dendritic cells resting	-0.006816568772383583	0.9369882727057772	0.9699808175193609	
PLK1	Dendritic cells activated	7.955366597257138e-5	0.9992638558916367	0.9992638558916367	
PLK1	Mast cells resting	-0.028870964241063588	0.737700887987664	0.8840170983767595	
PLK1	Mast cells activated	0.04487795260867132	0.6025531438865392	0.7750291669097517	
PLK1	Eosinophils	0.050049427184007615	0.5613684310542648	0.7501923578634266	
PLK1	Neutrophils	0.04610431560426489	0.5926655540162885	0.7750291669097517	
CDK2	B cells naive	-0.0943047584526185	0.2730175022757122	0.5364879315080098	
CDK2	B cells memory	0.12231398367800536	0.15448032609788825	0.40754706773995675	
CDK2	Plasma cells	0.050102195499345276	0.5609552271607494	0.7501923578634266	
CDK2	T cells CD8	-0.008177467337799008	0.9244424036990937	0.9699808175193609	
